episode,phase,step0_tool,reward,success,top_patterns
440,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
450,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
460,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
470,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
480,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
490,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
500,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
510,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
520,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
530,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
540,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
550,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
560,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
570,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
580,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
590,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
600,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
610,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
620,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
630,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
640,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
650,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
660,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
670,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
680,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
690,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
700,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
710,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
720,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
730,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
740,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
750,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
760,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
770,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
780,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
790,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
800,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
810,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
820,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
830,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
840,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
850,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
860,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
870,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
880,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
890,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
900,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
910,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
920,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
930,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
940,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
950,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
960,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
970,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
980,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
990,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
0,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
1,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
2,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
3,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
4,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
5,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
6,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
7,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
8,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
9,Structural Reasoning,meta_guided,-1.0,0,float:1.000|language_model:0.000
10,Structural Reasoning,meta_guided,-1.0,0,float:1.000
11,Structural Reasoning,meta_guided,-1.0,0,float:1.000
12,Structural Reasoning,meta_guided,-1.0,0,float:1.000
13,Structural Reasoning,meta_guided,-1.0,0,float:1.000
14,Structural Reasoning,meta_guided,-1.0,0,float:1.000
15,Structural Reasoning,meta_guided,-1.0,0,float:1.000
16,Structural Reasoning,meta_guided,-1.0,0,float:1.000
17,Structural Reasoning,meta_guided,-1.0,0,float:1.000
18,Structural Reasoning,meta_guided,-1.0,0,float:1.000
19,Structural Reasoning,meta_guided,-1.0,0,float:1.000
20,Structural Reasoning,meta_guided,-1.0,0,float:1.000
21,Structural Reasoning,meta_guided,-1.0,0,float:1.000
22,Structural Reasoning,meta_guided,-1.0,0,float:1.000
23,Structural Reasoning,meta_guided,-1.0,0,float:1.000
24,Structural Reasoning,meta_guided,-1.0,0,float:1.000
25,Structural Reasoning,meta_guided,-1.0,0,float:1.000
26,Structural Reasoning,meta_guided,-1.0,0,float:1.000
27,Structural Reasoning,meta_guided,-1.0,0,float:1.000
28,Structural Reasoning,meta_guided,-1.0,0,float:1.000
29,Structural Reasoning,meta_guided,-1.0,0,float:1.000
30,Structural Reasoning,meta_guided,-1.0,0,float:1.000
31,Structural Reasoning,meta_guided,-1.0,0,float:1.000
32,Structural Reasoning,meta_guided,-1.0,0,float:1.000
33,Structural Reasoning,meta_guided,-1.0,0,float:1.000
34,Structural Reasoning,meta_guided,-1.0,0,float:1.000
35,Structural Reasoning,meta_guided,-1.0,0,float:1.000
36,Structural Reasoning,meta_guided,-1.0,0,float:1.000
37,Structural Reasoning,meta_guided,-1.0,0,float:1.000
38,Structural Reasoning,meta_guided,-1.0,0,float:1.000
39,Structural Reasoning,meta_guided,-1.0,0,float:1.000
40,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
41,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
42,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
43,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
44,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
45,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
46,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
47,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
48,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
49,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
50,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
51,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
52,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
53,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
54,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
55,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
56,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
57,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
58,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
59,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
60,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
61,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
62,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
63,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
64,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
65,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
66,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
67,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
68,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
69,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
70,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
71,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
72,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
73,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
74,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
75,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
76,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
77,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
78,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
79,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
80,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
81,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
82,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
83,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
84,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
85,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
86,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
87,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
88,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
89,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
90,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
91,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
92,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
93,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
94,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
95,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
96,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
97,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
98,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
99,Sequential Reasoning,meta_guided,-1.0,0,float:1.000
100,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
101,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
102,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
103,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
104,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
105,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
106,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
107,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
108,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
109,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
110,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
111,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
112,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
113,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
114,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
115,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
116,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
117,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
118,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
119,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
120,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
121,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
122,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
123,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
124,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
125,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
126,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
127,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
128,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
129,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
130,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
131,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
132,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
133,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
134,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
135,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
136,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
137,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
138,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
139,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
140,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
141,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
142,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
143,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
144,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
145,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
146,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
147,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
148,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
149,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
150,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
151,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
152,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
153,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
154,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
155,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
156,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
157,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
158,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
159,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
160,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
161,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
162,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
163,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
164,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
165,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
166,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
167,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
168,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
169,Linguistic Analysis,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
170,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
171,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
172,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
173,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
174,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
175,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
176,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
177,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
178,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
179,Linguistic Analysis,meta_guided,-1.0,0,float:1.000
180,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
181,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
182,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
183,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
184,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
185,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
186,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
187,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
188,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
189,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000
190,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
191,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
192,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
193,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
194,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
195,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
196,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
197,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
198,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
199,Probabilistic Reasoning,meta_guided,-1.0,0,float:1.000|arithmetic:0.010
