episode,phase,step0_tool,reward,success,top_patterns
39,Tool Expansion,none,1.0,1,operator.add:0.116|math.sqrt:0.100|numpy.mean:0.084
40,Tool Expansion,operator.add,-1.0,0,operator.add:0.108|math.sqrt:0.086|numpy.mean:0.086
41,Tool Expansion,none,1.0,1,operator.add:0.108|math.sqrt:0.100|math.sqrt:0.086
42,Tool Expansion,none,1.0,1,operator.add:0.108|math.sqrt:0.100|math.sqrt:0.100
43,Tool Expansion,none,1.0,1,operator.add:0.108|math.sqrt:0.100|math.sqrt:0.100
44,Tool Expansion,math.sqrt,1.0,1,math.sqrt:0.100|math.sqrt:0.085|math.sqrt:0.085
45,Tool Expansion,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.085
46,Tool Expansion,sympy.sympify,-1.0,0,math.sqrt:0.140|math.sqrt:0.132|numpy.mean:0.125
47,Tool Expansion,math.sqrt,-1.0,0,math.sqrt:0.182|math.sqrt:0.170|numpy.mean:0.146
48,Tool Expansion,math.sqrt,1.0,1,math.sqrt:0.183|math.sqrt:0.174|numpy.mean:0.146
49,Tool Expansion,numpy.mean,1.0,1,math.sqrt:0.187|math.sqrt:0.174|numpy.mean:0.128
50,Tool Expansion,numpy.mean,1.0,1,math.sqrt:0.183|math.sqrt:0.161|numpy.mean:0.112
51,Tool Expansion,none,1.0,1,math.sqrt:0.183|math.sqrt:0.161|numpy.mean:0.112
52,Tool Expansion,none,1.0,1,math.sqrt:0.183|math.sqrt:0.161|numpy.mean:0.112
53,Tool Expansion,none,1.0,1,math.sqrt:0.183|math.sqrt:0.161|numpy.mean:0.112
54,Tool Expansion,math.sqrt,1.0,1,math.sqrt:0.130|math.sqrt:0.113|math.sqrt:0.100
55,Tool Expansion,none,1.0,1,math.sqrt:0.130|math.sqrt:0.113|math.sqrt:0.100
56,Tool Expansion,none,1.0,1,math.sqrt:0.130|math.sqrt:0.113|math.sqrt:0.100
57,NLP Tool Mastery,operator.gt,-1.0,0,math.sqrt:0.109|math.sqrt:0.106|math.sqrt:0.101
58,NLP Tool Mastery,math.sqrt,-1.0,0,math.sqrt:0.135|math.sqrt:0.115|numpy.mean:0.109
59,NLP Tool Mastery,numpy.mean,1.0,1,math.sqrt:0.138|math.sqrt:0.117|numpy.mean:0.111
60,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.131|math.sqrt:0.111|numpy.mean:0.102
61,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.121|math.sqrt:0.105|operator.gt:0.100
62,NLP Tool Mastery,operator.gt,-1.0,0,math.sqrt:0.117|math.sqrt:0.106|numpy.mean:0.088
63,NLP Tool Mastery,math.sqrt,-1.0,0,math.sqrt:0.124|math.sqrt:0.108|numpy.mean:0.088
64,NLP Tool Mastery,numpy.mean,-1.0,0,math.sqrt:0.133|math.sqrt:0.106|numpy.mean:0.084
65,NLP Tool Mastery,numpy.mean,1.0,1,math.sqrt:0.139|math.sqrt:0.104|operator.gt:0.100
66,NLP Tool Mastery,numpy.mean,1.0,1,math.sqrt:0.132|operator.gt:0.100|math.sqrt:0.094
67,NLP Tool Mastery,numpy.mean,1.0,1,math.sqrt:0.122|operator.gt:0.100|operator.gt:0.085
68,NLP Tool Mastery,numpy.mean,1.0,1,math.sqrt:0.116|operator.gt:0.100|operator.gt:0.080
69,NLP Tool Mastery,math.sqrt,-1.0,0,math.sqrt:0.100|operator.gt:0.090|operator.gt:0.077
70,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.100|math.sqrt:0.098|operator.gt:0.094
71,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.101|operator.gt:0.082|math.sqrt:0.078
72,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.106|operator.gt:0.100|operator.gt:0.083
73,NLP Tool Mastery,math.sqrt,1.0,1,operator.gt:0.109|operator.gt:0.100|operator.gt:0.083
74,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.122|operator.gt:0.087|operator.gt:0.079
75,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.125|operator.gt:0.100|operator.gt:0.088
76,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.129|operator.gt:0.096|operator.gt:0.081
77,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.133|operator.gt:0.108|operator.gt:0.093
78,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.133|operator.gt:0.111|operator.gt:0.100
79,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.119|operator.gt:0.102|operator.gt:0.101
80,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.106|operator.gt:0.100|operator.gt:0.099
81,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.100|operator.gt:0.097|operator.gt:0.097
82,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.144|operator.gt:0.135|operator.gt:0.109
83,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.169|operator.gt:0.164|operator.gt:0.105
84,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.193|operator.gt:0.177|operator.gt:0.096
85,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.197|operator.gt:0.178|operator.gt:0.100
86,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.181|operator.gt:0.161|operator.gt:0.100
87,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.164|operator.gt:0.146|operator.gt:0.100
88,NLP Tool Mastery,math.sqrt,-1.0,0,operator.gt:0.157|operator.gt:0.154|operator.gt:0.141
89,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.162|operator.gt:0.159|operator.gt:0.141
90,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.193|operator.gt:0.183|operator.gt:0.115
91,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.197|operator.gt:0.185|operator.gt:0.114
92,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.181|operator.gt:0.169|operator.gt:0.101
93,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.165|operator.gt:0.152|operator.gt:0.100
94,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.151|operator.gt:0.145|operator.gt:0.140
95,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.155|operator.gt:0.144|operator.gt:0.141
96,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.172|operator.gt:0.157|operator.gt:0.133
97,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.176|operator.gt:0.159|operator.gt:0.132
98,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.162|operator.gt:0.145|operator.gt:0.119
99,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.164|operator.gt:0.151|operator.gt:0.130
0,Tool Familiarization,none,1.0,1,sympy.sympify:0.100|arithmetic:0.010|float:0.010
1,Tool Familiarization,sympy.sympify,1.0,1,sympy.sympify:0.635|sympy.sympify:0.100|list_modules:0.061
2,Tool Familiarization,none,1.0,1,sympy.sympify:0.635|sympy.sympify:0.100|operator.add:0.100
3,Tool Familiarization,none,1.0,1,sympy.sympify:0.635|sympy.sympify:0.100|operator.add:0.100
4,Tool Familiarization,none,1.0,1,sympy.sympify:0.635|sympy.sympify:0.100|operator.add:0.100
5,Tool Expansion,none,1.0,1,sympy.sympify:0.635|sympy.sympify:0.100|operator.add:0.100
6,Tool Expansion,list_modules,-1.0,0,sympy.sympify:0.621|sympy.sympify:0.040|sympy.sympify:0.036
7,Tool Expansion,none,1.0,1,sympy.sympify:0.621|math.sqrt:0.100|sympy.sympify:0.040
8,Tool Expansion,split,-1.0,0,sympy.sympify:0.639|math.sqrt:0.064|sympy.sympify:0.040
9,Tool Expansion,none,1.0,1,sympy.sympify:0.639|numpy.mean:0.100|math.sqrt:0.064
10,Tool Expansion,none,1.0,1,sympy.sympify:0.639|numpy.mean:0.100|math.sqrt:0.100
11,Tool Expansion,none,1.0,1,sympy.sympify:0.639|numpy.mean:0.100|math.sqrt:0.100
12,Tool Expansion,none,1.0,1,sympy.sympify:0.639|numpy.mean:0.100|math.sqrt:0.100
13,Tool Expansion,none,1.0,1,sympy.sympify:0.639|numpy.mean:0.100|math.sqrt:0.100
14,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.424|numpy.mean:0.071|math.sqrt:0.068
15,Tool Expansion,none,1.0,1,sympy.sympify:0.424|math.sqrt:0.100|numpy.mean:0.071
16,Tool Expansion,operator.add,-1.0,0,sympy.sympify:0.341|math.sqrt:0.084|numpy.mean:0.079
17,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.267|numpy.mean:0.096|math.sqrt:0.089
18,Tool Expansion,math.sqrt,1.0,1,sympy.sympify:0.261|math.sqrt:0.100|numpy.mean:0.097
19,Tool Expansion,sympy.sympify,1.0,1,sympy.sympify:0.226|math.sqrt:0.100|numpy.mean:0.090
20,Tool Expansion,sympy.sympify,1.0,1,sympy.sympify:0.185|operator.gt:0.100|numpy.mean:0.085
21,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.116|numpy.mean:0.087|math.sqrt:0.081
22,Tool Expansion,none,1.0,1,sympy.sympify:0.116|numpy.mean:0.100|numpy.mean:0.087
23,Tool Expansion,none,1.0,1,sympy.sympify:0.116|numpy.mean:0.100|numpy.mean:0.100
24,Tool Expansion,numpy.mean,-1.0,0,numpy.mean:0.081|numpy.mean:0.080|math.sqrt:0.079
25,Tool Expansion,numpy.mean,1.0,1,math.sqrt:0.100|numpy.mean:0.086|math.sqrt:0.086
26,Tool Expansion,numpy.mean,1.0,1,math.sqrt:0.100|numpy.mean:0.084|math.sqrt:0.084
27,Tool Expansion,none,1.0,1,math.sqrt:0.100|numpy.mean:0.100|numpy.mean:0.084
28,Tool Expansion,none,1.0,1,math.sqrt:0.100|numpy.mean:0.100|math.sqrt:0.100
29,Tool Expansion,numpy.mean,-1.0,0,math.sqrt:0.079|numpy.mean:0.078|math.sqrt:0.070
30,Tool Expansion,none,1.0,1,numpy.mean:0.100|math.sqrt:0.079|numpy.mean:0.078
31,Tool Expansion,none,1.0,1,numpy.mean:0.100|operator.gt:0.100|math.sqrt:0.079
32,Tool Expansion,numpy.mean,1.0,1,operator.gt:0.100|numpy.mean:0.078|operator.gt:0.076
33,Tool Expansion,math.sqrt,-1.0,0,numpy.mean:0.077|operator.gt:0.074|operator.gt:0.074
34,Tool Expansion,numpy.mean,-1.0,0,numpy.mean:0.092|operator.gt:0.081|operator.gt:0.074
35,Tool Expansion,math.sqrt,1.0,1,operator.gt:0.100|numpy.mean:0.096|operator.gt:0.084
36,Tool Expansion,math.sqrt,1.0,1,operator.gt:0.100|math.sqrt:0.100|numpy.mean:0.088
37,Tool Expansion,none,1.0,1,operator.gt:0.100|math.sqrt:0.100|numpy.mean:0.100
38,Tool Expansion,numpy.mean,-1.0,0,operator.gt:0.162|numpy.mean:0.078|operator.gt:0.069
39,Tool Expansion,none,1.0,1,operator.gt:0.162|numpy.mean:0.100|numpy.mean:0.078
40,Tool Expansion,none,1.0,1,operator.gt:0.162|numpy.mean:0.100|math.sqrt:0.100
41,Tool Expansion,none,1.0,1,operator.gt:0.162|numpy.mean:0.100|math.sqrt:0.100
42,Tool Expansion,none,1.0,1,operator.gt:0.162|numpy.mean:0.100|math.sqrt:0.100
43,Tool Expansion,math.sqrt,1.0,1,operator.gt:0.116|math.sqrt:0.100|math.sqrt:0.078
44,Tool Expansion,none,1.0,1,operator.gt:0.116|math.sqrt:0.100|operator.gt:0.100
45,NLP Tool Mastery,numpy.mean,-1.0,0,math.sqrt:0.117|math.sqrt:0.113|math.sqrt:0.109
46,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.127|math.sqrt:0.123|math.sqrt:0.115
47,NLP Tool Mastery,operator.gt,1.0,1,math.sqrt:0.117|math.sqrt:0.113|math.sqrt:0.105
48,NLP Tool Mastery,math.sqrt,1.0,1,operator.gt:0.125|math.sqrt:0.115|math.sqrt:0.111
49,NLP Tool Mastery,math.sqrt,-1.0,0,operator.gt:0.159|math.sqrt:0.120|math.sqrt:0.115
50,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.176|math.sqrt:0.133|math.sqrt:0.121
51,NLP Tool Mastery,math.sqrt,-1.0,0,operator.gt:0.177|math.sqrt:0.146|math.sqrt:0.121
52,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.177|math.sqrt:0.147|math.sqrt:0.121
53,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.161|math.sqrt:0.133|math.sqrt:0.108
54,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.145|math.sqrt:0.119|operator.gt:0.100
55,NLP Tool Mastery,math.sqrt,-1.0,0,operator.gt:0.160|operator.gt:0.143|operator.gt:0.113
56,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.210|operator.gt:0.168|operator.gt:0.089
57,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.214|operator.gt:0.169|operator.gt:0.100
58,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.196|operator.gt:0.154|operator.gt:0.100
59,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.178|operator.gt:0.140|operator.gt:0.100
60,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.160|operator.gt:0.127|operator.gt:0.100
61,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.144|operator.gt:0.114|operator.gt:0.100
62,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.130|operator.gt:0.102|operator.gt:0.100
63,NLP Tool Mastery,math.sqrt,-1.0,0,operator.gt:0.115|operator.gt:0.112|operator.gt:0.112
64,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.134|operator.gt:0.131|operator.gt:0.130
65,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.136|operator.gt:0.133|operator.gt:0.132
66,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.145|operator.gt:0.137|operator.gt:0.133
67,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.156|operator.gt:0.149|operator.gt:0.143
68,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.157|operator.gt:0.149|operator.gt:0.145
69,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.157|operator.gt:0.154|operator.gt:0.140
70,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.170|operator.gt:0.160|operator.gt:0.144
71,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.171|operator.gt:0.160|operator.gt:0.145
72,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.154|operator.gt:0.143|operator.gt:0.132
73,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.139|operator.gt:0.127|operator.gt:0.120
74,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.124|operator.gt:0.112|operator.gt:0.108
75,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.111|operator.gt:0.100|operator.gt:0.098
76,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.100|operator.gt:0.098|operator.gt:0.094
77,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.100|operator.gt:0.093|operator.gt:0.088
78,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.106|operator.gt:0.105|operator.gt:0.103
79,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.108|operator.gt:0.107|operator.gt:0.105
80,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.119|operator.gt:0.117|operator.gt:0.116
81,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.132|operator.gt:0.130|operator.gt:0.128
82,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.133|operator.gt:0.131|operator.gt:0.129
83,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.121|operator.gt:0.119|operator.gt:0.116
84,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.170|operator.gt:0.113|operator.gt:0.105
85,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.219|operator.gt:0.111|operator.gt:0.109
86,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.219|operator.gt:0.121|operator.gt:0.116
87,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.219|operator.gt:0.122|operator.gt:0.117
88,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.196|operator.gt:0.111|operator.gt:0.106
89,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.174|operator.gt:0.100|operator.gt:0.100
90,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.155|operator.gt:0.100|operator.gt:0.097
91,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.137|operator.gt:0.100|operator.gt:0.095
92,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.125|operator.gt:0.124|operator.gt:0.123
93,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.158|operator.gt:0.145|operator.gt:0.134
94,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.161|operator.gt:0.148|operator.gt:0.134
95,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.164|operator.gt:0.162|operator.gt:0.124
96,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.184|operator.gt:0.169|operator.gt:0.124
97,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.195|operator.gt:0.167|operator.gt:0.120
98,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.200|operator.gt:0.165|operator.gt:0.118
99,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.194|operator.gt:0.160|operator.gt:0.119
100,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.193|operator.gt:0.162|operator.gt:0.118
101,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.164|operator.gt:0.158|operator.gt:0.118
102,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.161|operator.gt:0.150|operator.gt:0.137
103,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.161|operator.gt:0.148|operator.gt:0.138
104,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.147|operator.gt:0.138|operator.gt:0.121
105,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.159|operator.gt:0.131|operator.gt:0.123
106,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.160|operator.gt:0.135|operator.gt:0.122
107,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.157|operator.gt:0.156|operator.gt:0.104
108,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.181|operator.gt:0.157|operator.gt:0.107
109,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.189|operator.gt:0.158|operator.gt:0.121
110,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.189|operator.gt:0.158|operator.gt:0.123
111,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.169|operator.gt:0.141|operator.gt:0.112
112,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.150|operator.gt:0.125|operator.gt:0.101
113,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.165|operator.gt:0.143|operator.gt:0.116
114,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.170|operator.gt:0.145|operator.gt:0.114
115,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.158|operator.gt:0.134|operator.gt:0.101
116,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.146|operator.gt:0.123|operator.gt:0.100
117,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.153|operator.gt:0.145|operator.gt:0.132
118,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.155|operator.gt:0.149|operator.gt:0.135
119,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.143|operator.gt:0.137|operator.gt:0.124
120,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.131|operator.gt:0.125|operator.gt:0.113
121,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.120|operator.gt:0.114|operator.gt:0.103
122,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.122|operator.gt:0.121|operator.gt:0.116
123,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.124|operator.gt:0.124|operator.gt:0.117
124,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.114|operator.gt:0.113|operator.gt:0.107
125,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.146|operator.gt:0.121|operator.gt:0.108
126,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.149|operator.gt:0.123|operator.gt:0.109
127,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.138|operator.gt:0.112|operator.gt:0.100
128,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.148|operator.gt:0.126|operator.gt:0.107
129,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.152|operator.gt:0.127|operator.gt:0.107
130,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.140|operator.gt:0.114|operator.gt:0.100
131,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.128|operator.gt:0.102|operator.gt:0.100
132,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.131|operator.gt:0.129|operator.gt:0.124
133,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.146|operator.gt:0.139|operator.gt:0.138
134,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.147|operator.gt:0.140|operator.gt:0.140
135,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.133|operator.gt:0.128|operator.gt:0.126
136,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.119|operator.gt:0.116|operator.gt:0.113
137,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.106|operator.gt:0.104|operator.gt:0.101
138,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.100|operator.gt:0.095|operator.gt:0.094
139,NLP Tool Mastery,operator.gt,-1.0,0,operator.gt:0.125|operator.gt:0.122|operator.gt:0.115
140,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.129|operator.gt:0.126|operator.gt:0.117
141,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.120|operator.gt:0.116|operator.gt:0.108
142,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.111|operator.gt:0.106|operator.gt:0.100
143,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.102|operator.gt:0.100|operator.gt:0.097
144,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.117|operator.gt:0.115|operator.gt:0.109
145,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
146,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
147,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
148,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
149,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
150,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.135|operator.gt:0.121|operator.gt:0.118
151,Sensory Conversion Mastery,builtins.float,1.0,1,builtins.float:0.100|operator.gt:0.088|operator.gt:0.079
152,Sensory Conversion Mastery,none,1.0,1,builtins.float:0.100|builtins.float:0.100|operator.gt:0.088
153,Sensory Conversion Mastery,operator.gt,-1.0,0,builtins.float:0.093|builtins.float:0.093|builtins.float:0.093
154,Sensory Conversion Mastery,operator.gt,-1.0,0,builtins.float:0.114|builtins.float:0.110|builtins.float:0.109
155,Sensory Conversion Mastery,none,1.0,1,builtins.float:0.114|builtins.float:0.110|builtins.float:0.109
156,Sensory Conversion Mastery,none,1.0,1,builtins.float:0.114|builtins.float:0.110|builtins.float:0.109
157,Sensory Conversion Mastery,none,1.0,1,builtins.float:0.114|builtins.float:0.110|builtins.float:0.109
