episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,re_findall,-1.0,0,index:0.172|float:0.168|split:0.167
25,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.138|sympy.sympify:0.114|operator.add:0.092
26,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.154|sympy.sympify:0.123|operator.add:0.102
27,Tool Familiarization,none,1.0,1,sympy.sympify:0.154|sympy.sympify:0.123|operator.add:0.102
28,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.147|sympy.sympify:0.110|operator.add:0.107
29,Tool Familiarization,none,1.0,1,sympy.sympify:0.147|sympy.sympify:0.110|operator.add:0.107
30,Tool Familiarization,none,1.0,1,sympy.sympify:0.147|sympy.sympify:0.110|operator.add:0.107
31,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.116|operator.add:0.105|operator.add:0.098
32,Tool Familiarization,none,1.0,1,sympy.sympify:0.116|operator.add:0.105|operator.add:0.100
33,Tool Familiarization,operator.add,-1.0,0,operator.add:0.114|operator.add:0.107|operator.add:0.097
34,Tool Familiarization,none,1.0,1,operator.add:0.114|operator.add:0.107|sympy.sympify:0.100
35,Tool Familiarization,operator.add,-1.0,0,operator.add:0.134|operator.add:0.103|operator.add:0.101
36,Tool Familiarization,none,1.0,1,operator.add:0.134|operator.add:0.103|operator.add:0.101
37,Tool Familiarization,none,1.0,1,operator.add:0.134|operator.add:0.103|operator.add:0.101
38,Tool Familiarization,none,1.0,1,operator.add:0.134|operator.add:0.103|operator.add:0.101
39,Tool Familiarization,operator.add,-1.0,0,operator.add:0.129|operator.add:0.091|operator.add:0.081
40,Tool Familiarization,none,1.0,1,operator.add:0.129|sympy.sympify:0.100|operator.add:0.091
41,Tool Familiarization,none,1.0,1,operator.add:0.129|sympy.sympify:0.100|operator.add:0.100
42,Tool Familiarization,sympy.sympify,1.0,1,operator.add:0.107|sympy.sympify:0.100|operator.add:0.093
43,Tool Familiarization,none,1.0,1,operator.add:0.107|sympy.sympify:0.100|operator.add:0.100
44,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.149|operator.add:0.117|operator.add:0.087
45,Tool Familiarization,sympy.sympify,1.0,1,sympy.sympify:0.157|operator.add:0.117|sympy.sympify:0.100
46,Tool Familiarization,none,1.0,1,sympy.sympify:0.157|operator.add:0.117|sympy.sympify:0.100
47,Tool Familiarization,none,1.0,1,sympy.sympify:0.157|operator.add:0.117|sympy.sympify:0.100
48,Tool Familiarization,none,1.0,1,sympy.sympify:0.157|operator.add:0.117|sympy.sympify:0.100
49,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.167|operator.add:0.084|operator.add:0.065
50,Tool Familiarization,none,1.0,1,sympy.sympify:0.167|sympy.sympify:0.100|operator.add:0.084
51,Tool Familiarization,none,1.0,1,sympy.sympify:0.167|sympy.sympify:0.100|operator.add:0.100
52,Tool Familiarization,none,1.0,1,sympy.sympify:0.167|sympy.sympify:0.100|operator.add:0.100
53,Tool Familiarization,sympy.sympify,1.0,1,sympy.sympify:0.129|sympy.sympify:0.100|operator.add:0.085
54,Tool Familiarization,none,1.0,1,sympy.sympify:0.129|sympy.sympify:0.100|operator.add:0.100
55,Tool Expansion,operator.add,-1.0,0,sympy.sympify:0.120|operator.add:0.114|sympy.sympify:0.112
56,Tool Expansion,none,1.0,1,sympy.sympify:0.120|operator.add:0.114|sympy.sympify:0.112
57,Tool Expansion,none,1.0,1,sympy.sympify:0.120|operator.add:0.114|sympy.sympify:0.112
58,Tool Expansion,none,1.0,1,sympy.sympify:0.120|operator.add:0.114|sympy.sympify:0.112
59,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.113|operator.add:0.110|re.findall:0.102
60,Tool Expansion,sympy.sympify,-1.0,0,operator.add:0.125|sympy.sympify:0.125|re.findall:0.100
61,Tool Expansion,none,1.0,1,operator.add:0.125|sympy.sympify:0.125|re.findall:0.100
62,Tool Expansion,operator.add,-1.0,0,sympy.sympify:0.123|operator.add:0.115|re.findall:0.085
63,Tool Expansion,none,1.0,1,sympy.sympify:0.123|operator.add:0.115|numpy.mean:0.100
64,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.114|operator.add:0.100|numpy.mean:0.079
65,Tool Expansion,sympy.sympify,-1.0,0,sympy.sympify:0.101|operator.add:0.094|numpy.mean:0.090
66,Tool Expansion,operator.add,-1.0,0,numpy.mean:0.098|operator.add:0.084|sympy.sympify:0.082
67,Tool Expansion,none,1.0,1,math.sqrt:0.100|numpy.mean:0.098|operator.add:0.084
68,Tool Expansion,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|numpy.mean:0.098
69,Tool Expansion,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|numpy.mean:0.100
70,Tool Expansion,numpy.mean,1.0,1,math.sqrt:0.100|numpy.mean:0.076|numpy.mean:0.075
71,Tool Expansion,none,1.0,1,math.sqrt:0.100|numpy.mean:0.100|numpy.mean:0.076
0,Tool Familiarization,re_findall,-1.0,0,float:0.169|split:0.167|arithmetic:0.167
1,Tool Familiarization,none,1.0,1,float:0.169|split:0.167|arithmetic:0.167
2,Tool Familiarization,none,1.0,1,float:0.169|split:0.167|arithmetic:0.167
3,Tool Familiarization,none,1.0,1,float:0.169|split:0.167|arithmetic:0.167
4,Tool Familiarization,none,1.0,1,float:0.169|split:0.167|arithmetic:0.167
5,Tool Familiarization,none,1.0,1,float:0.169|split:0.167|arithmetic:0.167
6,Tool Familiarization,re_findall,-1.0,0,operator.add:0.098|sympy.sympify:0.093|split:0.093
7,Tool Familiarization,list_modules,-1.0,0,operator.add:0.145|operator.add:0.127|sympy.sympify:0.125
8,Tool Familiarization,none,1.0,1,operator.add:0.145|operator.add:0.127|sympy.sympify:0.125
9,Tool Familiarization,none,1.0,1,operator.add:0.145|operator.add:0.127|sympy.sympify:0.125
10,Tool Familiarization,index,-1.0,0,operator.add:0.164|operator.add:0.138|re.findall:0.122
11,Tool Familiarization,none,1.0,1,operator.add:0.164|operator.add:0.138|re.findall:0.122
12,Tool Familiarization,operator.add,-1.0,0,operator.add:0.186|operator.add:0.143|sympy.sympify:0.115
13,Tool Familiarization,operator.add,-1.0,0,operator.add:0.212|operator.add:0.158|sympy.sympify:0.115
14,Tool Familiarization,none,1.0,1,operator.add:0.212|operator.add:0.158|sympy.sympify:0.115
15,Tool Familiarization,none,1.0,1,operator.add:0.212|operator.add:0.158|sympy.sympify:0.115
16,Tool Familiarization,sympy.sympify,-1.0,0,operator.add:0.200|operator.add:0.147|operator.add:0.107
17,Tool Familiarization,none,1.0,1,operator.add:0.200|operator.add:0.147|operator.add:0.107
18,Tool Familiarization,none,1.0,1,operator.add:0.200|operator.add:0.147|operator.add:0.107
19,Tool Familiarization,sympy.sympify,-1.0,0,operator.add:0.185|operator.add:0.128|operator.add:0.100
20,Tool Familiarization,operator.add,-1.0,0,operator.add:0.202|operator.add:0.128|operator.add:0.107
21,Tool Familiarization,none,1.0,1,operator.add:0.202|operator.add:0.128|operator.add:0.107
22,Tool Familiarization,none,1.0,1,operator.add:0.202|operator.add:0.128|operator.add:0.107
23,Tool Familiarization,none,1.0,1,operator.add:0.202|operator.add:0.128|operator.add:0.107
24,Tool Familiarization,none,1.0,1,operator.add:0.202|operator.add:0.128|operator.add:0.107
25,Tool Familiarization,none,1.0,1,operator.add:0.202|operator.add:0.128|operator.add:0.107
26,Tool Familiarization,sympy.sympify,-1.0,0,operator.add:0.139|operator.add:0.086|operator.add:0.083
27,Tool Familiarization,none,1.0,1,operator.add:0.139|sympy.sympify:0.100|operator.add:0.086
28,Tool Familiarization,none,1.0,1,operator.add:0.139|sympy.sympify:0.100|sympy.sympify:0.100
29,Tool Familiarization,operator.add,-1.0,0,operator.add:0.105|operator.add:0.087|operator.add:0.079
30,Tool Familiarization,operator.add,-1.0,0,operator.add:0.099|operator.add:0.090|operator.add:0.086
31,Tool Familiarization,none,1.0,1,operator.add:0.100|operator.add:0.099|operator.add:0.090
32,Tool Familiarization,none,1.0,1,operator.add:0.100|operator.add:0.100|operator.add:0.099
33,Tool Familiarization,none,1.0,1,operator.add:0.100|operator.add:0.100|operator.add:0.100
34,Tool Familiarization,sympy.sympify,1.0,1,sympy.sympify:0.100|operator.add:0.085|operator.add:0.085
35,Tool Familiarization,none,1.0,1,sympy.sympify:0.100|sympy.sympify:0.100|operator.add:0.085
36,Tool Familiarization,none,1.0,1,sympy.sympify:0.100|sympy.sympify:0.100|operator.add:0.100
37,Tool Familiarization,none,1.0,1,sympy.sympify:0.100|sympy.sympify:0.100|operator.add:0.100
38,Tool Familiarization,none,1.0,1,sympy.sympify:0.100|sympy.sympify:0.100|operator.add:0.100
39,Tool Familiarization,sympy.sympify,1.0,1,sympy.sympify:0.100|operator.add:0.071|operator.add:0.071
40,Tool Expansion,none,1.0,1,sympy.sympify:0.100|math.sqrt:0.100|operator.add:0.071
41,Tool Expansion,none,1.0,1,sympy.sympify:0.100|math.sqrt:0.100|numpy.mean:0.100
42,Tool Expansion,none,1.0,1,sympy.sympify:0.100|math.sqrt:0.100|numpy.mean:0.100
43,Tool Expansion,sympy.sympify,1.0,1,operator.gt:0.100|sympy.sympify:0.061|operator.gt:0.061
44,Tool Expansion,operator.add,-1.0,0,operator.add:0.081|operator.add:0.076|operator.add:0.076
45,Tool Expansion,operator.add,-1.0,0,operator.add:0.098|operator.add:0.091|operator.add:0.090
46,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.add:0.098|operator.add:0.091
47,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.gt:0.100|operator.add:0.098
48,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.gt:0.100|builtins.len:0.100
49,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.gt:0.100|builtins.len:0.100
50,Tool Expansion,operator.add,-1.0,0,operator.add:0.086|operator.add:0.080|operator.add:0.071
51,Tool Expansion,operator.add,-1.0,0,operator.add:0.097|operator.add:0.095|operator.add:0.079
52,Tool Expansion,operator.add,-1.0,0,operator.add:0.110|operator.add:0.102|operator.add:0.086
53,Tool Expansion,none,1.0,1,operator.add:0.110|operator.add:0.102|math.sqrt:0.100
54,Tool Expansion,none,1.0,1,operator.add:0.110|operator.add:0.102|math.sqrt:0.100
55,Tool Expansion,operator.add,-1.0,0,operator.add:0.102|operator.add:0.086|operator.add:0.076
56,Tool Expansion,operator.add,-1.0,0,operator.add:0.109|operator.add:0.081|math.sqrt:0.076
57,Tool Expansion,none,1.0,1,operator.add:0.109|math.sqrt:0.100|operator.add:0.081
58,Tool Expansion,none,1.0,1,operator.add:0.109|math.sqrt:0.100|numpy.mean:0.100
59,Tool Expansion,none,1.0,1,operator.add:0.109|math.sqrt:0.100|numpy.mean:0.100
60,Tool Expansion,none,1.0,1,operator.add:0.109|math.sqrt:0.100|numpy.mean:0.100
61,Tool Expansion,operator.add,-1.0,0,operator.add:0.073|math.sqrt:0.071|math.sqrt:0.071
62,Tool Expansion,operator.add,-1.0,0,math.sqrt:0.081|math.sqrt:0.081|math.sqrt:0.071
63,Tool Expansion,operator.add,-1.0,0,math.sqrt:0.096|math.sqrt:0.092|math.sqrt:0.077
64,Tool Expansion,math.sqrt,1.0,1,math.sqrt:0.100|math.sqrt:0.098|math.sqrt:0.093
65,Tool Expansion,operator.add,-1.0,0,math.sqrt:0.102|math.sqrt:0.094|math.sqrt:0.083
66,Tool Expansion,none,1.0,1,math.sqrt:0.102|math.sqrt:0.100|math.sqrt:0.094
67,Tool Expansion,none,1.0,1,math.sqrt:0.102|math.sqrt:0.100|math.sqrt:0.100
68,Tool Expansion,none,1.0,1,math.sqrt:0.102|math.sqrt:0.100|math.sqrt:0.100
69,Tool Expansion,math.sqrt,-1.0,0,math.sqrt:0.085|math.sqrt:0.085|math.sqrt:0.079
70,Tool Expansion,none,1.0,1,numpy.mean:0.100|math.sqrt:0.085|math.sqrt:0.085
71,Tool Expansion,math.sqrt,1.0,1,numpy.mean:0.101|math.sqrt:0.100|math.sqrt:0.077
72,Tool Expansion,none,1.0,1,numpy.mean:0.101|math.sqrt:0.100|math.sqrt:0.100
73,Tool Expansion,none,1.0,1,numpy.mean:0.101|math.sqrt:0.100|math.sqrt:0.100
74,Tool Expansion,none,1.0,1,numpy.mean:0.101|math.sqrt:0.100|math.sqrt:0.100
75,Tool Expansion,none,1.0,1,numpy.mean:0.101|math.sqrt:0.100|math.sqrt:0.100
76,NLP Tool Mastery,builtins.len,-1.0,0,numpy.mean:0.122|math.sqrt:0.061|math.sqrt:0.061
77,NLP Tool Mastery,builtins.len,1.0,1,numpy.mean:0.126|builtins.len:0.100|math.sqrt:0.061
78,NLP Tool Mastery,math.sqrt,-1.0,0,numpy.mean:0.129|builtins.len:0.067|math.sqrt:0.062
79,NLP Tool Mastery,math.sqrt,1.0,1,numpy.mean:0.128|operator.add:0.100|builtins.len:0.065
80,NLP Tool Mastery,math.sqrt,-1.0,0,numpy.mean:0.116|math.sqrt:0.070|math.sqrt:0.069
81,NLP Tool Mastery,numpy.mean,-1.0,0,numpy.mean:0.111|math.sqrt:0.086|math.sqrt:0.080
82,NLP Tool Mastery,math.sqrt,-1.0,0,math.sqrt:0.108|numpy.mean:0.096|math.sqrt:0.095
83,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.117|math.sqrt:0.101|builtins.len:0.100
84,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.122|builtins.len:0.100|math.sqrt:0.099
85,NLP Tool Mastery,numpy.mean,-1.0,0,math.sqrt:0.129|math.sqrt:0.103|builtins.len:0.073
86,NLP Tool Mastery,math.sqrt,1.0,1,math.sqrt:0.131|math.sqrt:0.106|builtins.len:0.100
87,NLP Tool Mastery,builtins.len,1.0,1,math.sqrt:0.118|builtins.len:0.100|builtins.len:0.100
88,NLP Tool Mastery,builtins.len,1.0,1,math.sqrt:0.106|builtins.len:0.100|builtins.len:0.098
89,NLP Tool Mastery,builtins.len,1.0,1,builtins.len:0.100|builtins.len:0.097|builtins.len:0.095
90,NLP Tool Mastery,math.sqrt,1.0,1,builtins.len:0.105|builtins.len:0.105|builtins.len:0.104
91,NLP Tool Mastery,builtins.len,-1.0,0,builtins.len:0.148|builtins.len:0.141|builtins.len:0.112
92,NLP Tool Mastery,math.sqrt,1.0,1,builtins.len:0.162|builtins.len:0.150|builtins.len:0.111
93,NLP Tool Mastery,builtins.len,-1.0,0,builtins.len:0.181|builtins.len:0.145|builtins.len:0.103
94,NLP Tool Mastery,builtins.len,1.0,1,builtins.len:0.183|builtins.len:0.146|builtins.len:0.102
95,NLP Tool Mastery,builtins.len,1.0,1,builtins.len:0.167|builtins.len:0.133|builtins.len:0.100
96,NLP Tool Mastery,math.sqrt,-1.0,0,builtins.len:0.174|builtins.len:0.150|builtins.len:0.121
97,NLP Tool Mastery,language_model,-1.0,0,builtins.len:0.233|builtins.len:0.136|builtins.len:0.116
98,NLP Tool Mastery,builtins.len,1.0,1,builtins.len:0.241|builtins.len:0.134|builtins.len:0.115
99,NLP Tool Mastery,builtins.len,1.0,1,builtins.len:0.225|builtins.len:0.119|builtins.len:0.102
0,Tool Familiarization,float,-1.0,0,arithmetic:0.172|split:0.168|re_findall:0.168
1,Tool Familiarization,list_modules,-1.0,0,arithmetic:0.183|split:0.176|index:0.174
2,Tool Familiarization,none,1.0,1,arithmetic:0.183|split:0.176|index:0.174
3,Tool Familiarization,none,1.0,1,arithmetic:0.183|split:0.176|index:0.174
4,Tool Familiarization,none,1.0,1,arithmetic:0.183|split:0.176|index:0.174
5,Tool Familiarization,none,1.0,1,arithmetic:0.183|split:0.176|index:0.174
6,Tool Familiarization,none,1.0,1,arithmetic:0.183|split:0.176|index:0.174
7,Tool Familiarization,sympy.sympify,1.0,1,arithmetic:0.115|split:0.111|index:0.109
8,Tool Familiarization,none,1.0,1,arithmetic:0.115|split:0.111|index:0.109
9,Tool Familiarization,list_modules,-1.0,0,operator.add:0.133|operator.add:0.133|sympy.sympify:0.128
10,Tool Familiarization,none,1.0,1,operator.add:0.133|operator.add:0.133|sympy.sympify:0.128
11,Tool Familiarization,operator.add,-1.0,0,operator.add:0.173|sympy.sympify:0.153|operator.add:0.144
12,Tool Familiarization,none,1.0,1,operator.add:0.173|sympy.sympify:0.153|operator.add:0.144
13,Tool Familiarization,none,1.0,1,operator.add:0.173|sympy.sympify:0.153|operator.add:0.144
14,Tool Familiarization,none,1.0,1,operator.add:0.173|sympy.sympify:0.153|operator.add:0.144
15,Tool Familiarization,none,1.0,1,operator.add:0.173|sympy.sympify:0.153|operator.add:0.144
16,Tool Familiarization,operator.add,-1.0,0,operator.add:0.156|sympy.sympify:0.128|operator.add:0.114
17,Tool Familiarization,none,1.0,1,operator.add:0.156|sympy.sympify:0.128|operator.add:0.114
18,Tool Familiarization,operator.add,-1.0,0,operator.add:0.148|sympy.sympify:0.129|operator.add:0.105
19,Tool Familiarization,none,1.0,1,operator.add:0.148|sympy.sympify:0.129|operator.add:0.105
20,Tool Familiarization,sympy.sympify,1.0,1,operator.add:0.133|sympy.sympify:0.116|operator.add:0.102
21,Tool Familiarization,none,1.0,1,operator.add:0.133|sympy.sympify:0.116|operator.add:0.102
22,Tool Familiarization,none,1.0,1,operator.add:0.133|sympy.sympify:0.116|operator.add:0.102
23,Tool Familiarization,re.findall,1.0,1,operator.add:0.101|sympy.sympify:0.100|operator.add:0.097
24,Tool Familiarization,none,1.0,1,operator.add:0.101|sympy.sympify:0.100|sympy.sympify:0.100
25,Tool Familiarization,operator.add,-1.0,0,operator.add:0.150|sympy.sympify:0.079|operator.add:0.076
26,Tool Familiarization,none,1.0,1,operator.add:0.150|operator.add:0.100|sympy.sympify:0.079
27,Tool Familiarization,sympy.sympify,1.0,1,operator.add:0.138|operator.add:0.101|sympy.sympify:0.100
28,Tool Familiarization,none,1.0,1,operator.add:0.138|operator.add:0.101|sympy.sympify:0.100
29,Tool Expansion,none,1.0,1,operator.add:0.138|operator.add:0.101|sympy.sympify:0.100
30,Tool Expansion,operator.add,-1.0,0,operator.add:0.159|operator.add:0.122|sympy.sympify:0.056
31,Tool Expansion,operator.add,-1.0,0,operator.add:0.224|operator.add:0.121|sympy.sympify:0.059
32,Tool Expansion,none,1.0,1,operator.add:0.224|operator.add:0.121|numpy.mean:0.100
33,Tool Expansion,sympy.sympify,-1.0,0,operator.add:0.265|operator.add:0.110|numpy.mean:0.064
34,Tool Expansion,none,1.0,1,operator.add:0.265|operator.add:0.110|math.sqrt:0.100
35,Tool Expansion,none,1.0,1,operator.add:0.265|operator.add:0.110|math.sqrt:0.100
36,Tool Expansion,operator.add,-1.0,0,operator.add:0.271|operator.add:0.093|numpy.mean:0.068
37,Tool Expansion,none,1.0,1,operator.add:0.271|numpy.mean:0.100|operator.add:0.093
38,Tool Expansion,none,1.0,1,operator.add:0.271|numpy.mean:0.100|math.sqrt:0.100
39,Tool Expansion,sympy.sympify,-1.0,0,operator.add:0.254|operator.add:0.078|math.sqrt:0.071
40,Tool Expansion,none,1.0,1,operator.add:0.254|numpy.mean:0.100|operator.add:0.078
41,Tool Expansion,none,1.0,1,operator.add:0.254|numpy.mean:0.100|math.sqrt:0.100
42,Tool Expansion,sympy.sympify,-1.0,0,operator.add:0.199|numpy.mean:0.078|math.sqrt:0.077
43,Tool Expansion,none,1.0,1,operator.add:0.199|math.sqrt:0.100|numpy.mean:0.078
44,Tool Expansion,none,1.0,1,operator.add:0.199|math.sqrt:0.100|numpy.mean:0.100
45,Tool Expansion,none,1.0,1,operator.add:0.199|math.sqrt:0.100|numpy.mean:0.100
46,Tool Expansion,sympy.sympify,1.0,1,operator.add:0.150|math.sqrt:0.100|math.sqrt:0.075
47,Tool Expansion,none,1.0,1,operator.add:0.150|math.sqrt:0.100|operator.gt:0.100
48,Tool Expansion,none,1.0,1,operator.add:0.150|math.sqrt:0.100|operator.gt:0.100
49,Tool Expansion,math.sqrt,-1.0,0,operator.add:0.098|math.sqrt:0.067|builtins.len:0.064
50,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.add:0.098|math.sqrt:0.067
51,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.gt:0.100|operator.add:0.098
52,Tool Expansion,none,1.0,1,math.sqrt:0.100|operator.gt:0.100|numpy.mean:0.100
53,NLP Tool Mastery,operator.add,-1.0,0,numpy.mean:0.072|operator.gt:0.069|math.sqrt:0.066
54,NLP Tool Mastery,numpy.mean,-1.0,0,numpy.mean:0.073|operator.gt:0.067|math.sqrt:0.065
55,NLP Tool Mastery,math.sqrt,-1.0,0,numpy.mean:0.072|operator.gt:0.068|math.sqrt:0.065
56,NLP Tool Mastery,numpy.mean,1.0,1,operator.add:0.100|numpy.mean:0.071|operator.gt:0.068
57,NLP Tool Mastery,numpy.mean,-1.0,0,operator.add:0.078|math.sqrt:0.063|numpy.mean:0.063
58,NLP Tool Mastery,operator.add,-1.0,0,operator.add:0.076|numpy.mean:0.065|math.sqrt:0.065
59,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.100|operator.add:0.076|numpy.mean:0.067
60,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.100|operator.gt:0.086|operator.add:0.069
61,NLP Tool Mastery,numpy.mean,1.0,1,operator.add:0.100|operator.gt:0.084|operator.gt:0.078
62,NLP Tool Mastery,sympy.sympify,1.0,1,operator.add:0.100|operator.add:0.083|operator.gt:0.073
63,NLP Tool Mastery,operator.gt,-1.0,0,operator.add:0.071|operator.add:0.069|operator.add:0.067
64,NLP Tool Mastery,math.sqrt,1.0,1,operator.gt:0.100|operator.add:0.073|operator.add:0.069
65,NLP Tool Mastery,operator.gt,1.0,1,operator.gt:0.100|operator.gt:0.100|operator.add:0.066
66,NLP Tool Mastery,operator.add,1.0,1,operator.add:0.100|operator.gt:0.099|operator.gt:0.098
67,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.111|operator.gt:0.110|operator.gt:0.100
68,NLP Tool Mastery,numpy.mean,1.0,1,operator.gt:0.115|operator.gt:0.113|operator.gt:0.100
69,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.147|operator.gt:0.144|operator.gt:0.057
70,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.147|operator.gt:0.144|builtins.float:0.100
71,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.147|operator.gt:0.144|builtins.float:0.100
72,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.147|operator.gt:0.144|builtins.float:0.100
73,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.139|operator.gt:0.133|builtins.float:0.061
74,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.139|operator.gt:0.133|builtins.float:0.100
75,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.137|operator.gt:0.126|builtins.float:0.076
76,Sensory Conversion Mastery,operator.add,-1.0,0,operator.gt:0.140|operator.gt:0.124|builtins.float:0.075
77,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.140|operator.gt:0.124|builtins.float:0.100
78,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.140|operator.gt:0.124|builtins.float:0.100
79,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.140|operator.gt:0.124|builtins.float:0.100
80,Sensory Conversion Mastery,operator.gt,-1.0,0,operator.gt:0.107|operator.gt:0.086|builtins.float:0.075
81,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.107|sympy.sympify:0.100|operator.gt:0.086
82,Sensory Conversion Mastery,none,1.0,1,operator.gt:0.107|sympy.sympify:0.100|sympy.sympify:0.100
83,Sensory Conversion Mastery,numpy.mean,1.0,1,builtins.float:0.100|operator.gt:0.088|sympy.sympify:0.081
84,Sensory Conversion Mastery,sympy.sympify,1.0,1,builtins.float:0.101|sympy.sympify:0.100|operator.gt:0.078
85,Sensory Conversion Mastery,sympy.sympify,1.0,1,sympy.sympify:0.100|builtins.float:0.100|sympy.sympify:0.099
86,Sensory Conversion Mastery,none,1.0,1,sympy.sympify:0.100|re.findall:0.100|builtins.float:0.100
87,Container Mastery,operator.gt,-1.0,0,sympy.sympify:0.149|builtins.float:0.149|sympy.sympify:0.051
88,Container Mastery,none,1.0,1,sympy.sympify:0.149|builtins.float:0.149|re.findall:0.100
89,Container Mastery,none,1.0,1,sympy.sympify:0.149|builtins.float:0.149|re.findall:0.100
90,Container Mastery,none,1.0,1,sympy.sympify:0.149|builtins.float:0.149|re.findall:0.100
91,Container Mastery,none,1.0,1,sympy.sympify:0.149|builtins.float:0.149|re.findall:0.100
92,Container Mastery,sympy.sympify,-1.0,0,builtins.float:0.143|sympy.sympify:0.128|operator.getitem:0.060
93,Container Mastery,none,1.0,1,builtins.float:0.143|sympy.sympify:0.128|operator.getitem:0.100
94,Container Mastery,operator.getitem,-1.0,0,builtins.float:0.154|sympy.sympify:0.118|operator.getitem:0.075
95,Container Mastery,none,1.0,1,builtins.float:0.154|sympy.sympify:0.118|operator.getitem:0.100
96,Container Mastery,none,1.0,1,builtins.float:0.154|sympy.sympify:0.118|operator.getitem:0.100
97,Container Mastery,builtins.float,-1.0,0,builtins.float:0.140|sympy.sympify:0.090|operator.getitem:0.080
