episode,phase,step0_tool,reward,success,top_patterns
62,Tool Expansion,standard,1.0,1,sympy.sympify:0.166|sympy.sympify:0.158|sympy.sympify:0.115
63,Tool Expansion,standard,1.0,1,sympy.sympify:0.166|sympy.sympify:0.158|sympy.sympify:0.115
64,Tool Expansion,standard,-1.0,0,sympy.sympify:0.151|sympy.sympify:0.131|sympy.sympify:0.098
65,Tool Expansion,standard,1.0,1,sympy.sympify:0.151|sympy.sympify:0.131|numpy.mean:0.100
66,Tool Expansion,standard,1.0,1,sympy.sympify:0.151|sympy.sympify:0.131|numpy.mean:0.100
67,Tool Expansion,standard,1.0,1,sympy.sympify:0.137|sympy.sympify:0.113|math.sqrt:0.100
68,Tool Expansion,standard,1.0,1,sympy.sympify:0.137|sympy.sympify:0.113|math.sqrt:0.100
69,Tool Expansion,standard,1.0,1,sympy.sympify:0.137|sympy.sympify:0.113|math.sqrt:0.100
70,Tool Expansion,standard,1.0,1,sympy.sympify:0.137|sympy.sympify:0.113|math.sqrt:0.100
71,NLP Tool Mastery,standard,-1.0,0,sympy.sympify:0.105|sympy.sympify:0.085|sympy.sympify:0.070
72,NLP Tool Mastery,standard,1.0,1,sympy.sympify:0.104|operator.add:0.100|sympy.sympify:0.083
73,NLP Tool Mastery,standard,1.0,1,operator.add:0.100|sympy.sympify:0.093|operator.add:0.086
74,NLP Tool Mastery,standard,-1.0,0,operator.add:0.074|operator.add:0.073|sympy.sympify:0.071
75,NLP Tool Mastery,standard,-1.0,0,operator.add:0.074|operator.add:0.070|sympy.sympify:0.070
76,NLP Tool Mastery,standard,1.0,1,operator.add:0.100|operator.add:0.075|operator.add:0.070
77,NLP Tool Mastery,standard,1.0,1,operator.add:0.101|operator.add:0.100|operator.add:0.069
78,NLP Tool Mastery,standard,1.0,1,operator.add:0.100|operator.add:0.100|operator.add:0.099
79,NLP Tool Mastery,standard,-1.0,0,operator.add:0.169|operator.add:0.133|operator.add:0.062
80,NLP Tool Mastery,standard,-1.0,0,operator.add:0.234|operator.add:0.134|operator.add:0.062
81,NLP Tool Mastery,standard,1.0,1,operator.add:0.243|operator.add:0.134|operator.add:0.100
82,NLP Tool Mastery,standard,1.0,1,operator.add:0.223|operator.add:0.121|operator.add:0.100
83,NLP Tool Mastery,standard,-1.0,0,operator.add:0.225|operator.add:0.148|operator.add:0.107
84,NLP Tool Mastery,standard,1.0,1,operator.add:0.230|operator.add:0.150|operator.add:0.106
85,NLP Tool Mastery,standard,-1.0,0,operator.add:0.242|operator.add:0.164|operator.add:0.091
86,NLP Tool Mastery,standard,1.0,1,operator.add:0.244|operator.add:0.169|operator.add:0.100
87,NLP Tool Mastery,standard,1.0,1,operator.add:0.223|operator.add:0.155|operator.add:0.100
88,NLP Tool Mastery,standard,1.0,1,operator.add:0.202|operator.add:0.141|operator.add:0.100
89,NLP Tool Mastery,standard,1.0,1,operator.add:0.182|operator.add:0.129|operator.add:0.100
90,NLP Tool Mastery,standard,1.0,1,operator.add:0.164|operator.add:0.117|operator.add:0.100
91,NLP Tool Mastery,standard,-1.0,0,operator.add:0.134|operator.add:0.125|operator.add:0.121
92,NLP Tool Mastery,standard,1.0,1,operator.add:0.133|operator.add:0.129|operator.add:0.122
93,NLP Tool Mastery,standard,1.0,1,operator.add:0.120|operator.add:0.118|operator.add:0.112
94,NLP Tool Mastery,standard,-1.0,0,operator.add:0.152|operator.add:0.125|operator.add:0.115
95,NLP Tool Mastery,standard,1.0,1,operator.add:0.158|operator.add:0.125|operator.add:0.116
96,NLP Tool Mastery,standard,-1.0,0,operator.add:0.188|operator.add:0.116|operator.add:0.111
97,NLP Tool Mastery,standard,1.0,1,operator.add:0.190|operator.add:0.117|operator.add:0.111
98,NLP Tool Mastery,standard,1.0,1,operator.add:0.173|operator.add:0.105|operator.add:0.100
99,NLP Tool Mastery,standard,-1.0,0,operator.add:0.169|operator.add:0.156|operator.add:0.095
100,NLP Tool Mastery,standard,1.0,1,operator.add:0.174|operator.add:0.156|operator.add:0.100
101,NLP Tool Mastery,standard,1.0,1,operator.add:0.162|operator.add:0.140|operator.add:0.100
102,NLP Tool Mastery,standard,-1.0,0,operator.add:0.166|operator.add:0.126|operator.add:0.122
103,NLP Tool Mastery,standard,1.0,1,operator.add:0.170|operator.add:0.126|operator.add:0.121
104,NLP Tool Mastery,standard,1.0,1,operator.add:0.156|operator.add:0.113|operator.add:0.108
105,NLP Tool Mastery,standard,1.0,1,operator.add:0.141|operator.add:0.101|operator.add:0.100
106,NLP Tool Mastery,standard,-1.0,0,operator.add:0.140|operator.add:0.131|operator.add:0.127
107,NLP Tool Mastery,standard,-1.0,0,operator.add:0.167|operator.add:0.148|operator.add:0.127
108,NLP Tool Mastery,standard,1.0,1,operator.add:0.169|operator.add:0.152|operator.add:0.126
109,NLP Tool Mastery,standard,1.0,1,operator.add:0.153|operator.add:0.139|operator.add:0.114
110,NLP Tool Mastery,standard,-1.0,0,operator.add:0.171|operator.add:0.135|operator.add:0.134
111,NLP Tool Mastery,standard,1.0,1,operator.add:0.178|operator.add:0.134|operator.add:0.133
112,NLP Tool Mastery,standard,-1.0,0,operator.add:0.224|operator.add:0.121|operator.add:0.109
113,NLP Tool Mastery,standard,-1.0,0,operator.add:0.278|operator.add:0.110|operator.add:0.092
114,NLP Tool Mastery,standard,1.0,1,operator.add:0.283|operator.add:0.108|operator.add:0.100
115,NLP Tool Mastery,standard,1.0,1,operator.add:0.262|operator.add:0.100|operator.add:0.100
116,NLP Tool Mastery,standard,-1.0,0,operator.add:0.284|operator.add:0.159|operator.add:0.068
117,NLP Tool Mastery,standard,1.0,1,operator.add:0.286|operator.add:0.164|operator.add:0.100
118,NLP Tool Mastery,standard,1.0,1,operator.add:0.263|operator.add:0.151|operator.add:0.100
119,NLP Tool Mastery,standard,1.0,1,operator.add:0.240|operator.add:0.139|operator.add:0.100
120,NLP Tool Mastery,standard,1.0,1,operator.add:0.219|operator.add:0.126|operator.add:0.100
121,NLP Tool Mastery,standard,1.0,1,operator.add:0.199|operator.add:0.114|operator.add:0.100
122,NLP Tool Mastery,standard,-1.0,0,operator.add:0.178|operator.add:0.114|operator.add:0.112
123,NLP Tool Mastery,standard,-1.0,0,operator.add:0.164|operator.add:0.143|operator.add:0.127
124,NLP Tool Mastery,standard,1.0,1,operator.add:0.161|operator.add:0.148|operator.add:0.128
125,NLP Tool Mastery,standard,1.0,1,operator.add:0.143|operator.add:0.137|operator.add:0.115
126,NLP Tool Mastery,standard,1.0,1,operator.add:0.127|operator.add:0.126|operator.add:0.104
127,NLP Tool Mastery,standard,-1.0,0,operator.add:0.145|operator.add:0.144|operator.add:0.135
128,NLP Tool Mastery,standard,1.0,1,operator.add:0.150|operator.add:0.148|operator.add:0.136
129,NLP Tool Mastery,standard,1.0,1,operator.add:0.141|operator.add:0.137|operator.add:0.123
130,NLP Tool Mastery,standard,1.0,1,operator.add:0.130|operator.add:0.126|operator.add:0.111
131,NLP Tool Mastery,standard,1.0,1,operator.add:0.120|operator.add:0.116|operator.add:0.100
132,NLP Tool Mastery,standard,-1.0,0,operator.add:0.125|operator.add:0.123|operator.add:0.123
133,NLP Tool Mastery,standard,1.0,1,operator.add:0.128|operator.add:0.127|operator.add:0.126
134,NLP Tool Mastery,standard,1.0,1,operator.add:0.118|operator.add:0.118|operator.add:0.117
135,NLP Tool Mastery,standard,1.0,1,operator.add:0.109|operator.add:0.109|operator.add:0.107
136,NLP Tool Mastery,standard,1.0,1,operator.add:0.100|operator.add:0.100|operator.add:0.099
137,NLP Tool Mastery,standard,1.0,1,operator.add:0.100|operator.add:0.094|operator.add:0.092
138,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.110|operator.add:0.102|operator.add:0.101
139,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.110|operator.add:0.102|operator.add:0.101
140,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.110|operator.add:0.102|operator.add:0.101
141,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.107|operator.add:0.103|operator.add:0.100
142,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.113|operator.add:0.113|operator.add:0.106
143,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
144,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
145,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
146,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
147,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
148,Sensory Conversion Mastery,standard,1.0,1,operator.add:0.113|operator.add:0.113|operator.add:0.106
149,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.085|operator.add:0.081|operator.add:0.080
150,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.100|operator.add:0.085|operator.add:0.081
151,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.088|operator.add:0.085|sympy.sympify:0.077
152,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.100|operator.add:0.089|operator.add:0.086
153,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.090|operator.add:0.085|sympy.sympify:0.070
154,Sensory Conversion Mastery,standard,1.0,1,builtins.float:0.100|operator.add:0.090|operator.add:0.085
155,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.088|operator.add:0.075|sympy.sympify:0.068
156,Sensory Conversion Mastery,standard,-1.0,0,operator.add:0.088|operator.add:0.071|sympy.sympify:0.068
157,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.100|operator.add:0.088|operator.add:0.071
158,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.101|builtins.float:0.100|operator.add:0.079
159,Sensory Conversion Mastery,standard,-1.0,0,sympy.sympify:0.188|builtins.float:0.064|operator.add:0.062
160,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.188|builtins.float:0.100|builtins.float:0.064
161,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.188|builtins.float:0.100|builtins.float:0.100
162,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.188|builtins.float:0.100|builtins.float:0.100
163,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.188|builtins.float:0.100|builtins.float:0.100
164,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.188|builtins.float:0.100|builtins.float:0.100
165,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.126|builtins.float:0.100|builtins.float:0.072
166,Sensory Conversion Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|builtins.float:0.097
167,Container Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
168,Container Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
169,Container Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
170,Container Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
171,Container Mastery,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
172,Sensory Priming,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
173,Sensory Priming,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
174,Sensory Priming,standard,1.0,1,sympy.sympify:0.115|sympy.sympify:0.100|operator.getitem:0.100
175,Sensory Priming,standard,-1.0,0,builtins.float:0.095|sympy.sympify:0.078|builtins.float:0.069
176,Sensory Priming,standard,-1.0,0,builtins.float:0.115|builtins.float:0.090|builtins.float:0.090
177,Sensory Priming,standard,1.0,1,builtins.float:0.115|re.findall:0.100|builtins.float:0.090
178,Sensory Priming,standard,1.0,1,builtins.float:0.115|re.findall:0.100|re.findall:0.100
179,Sensory Priming,standard,1.0,1,builtins.float:0.115|re.findall:0.100|re.findall:0.100
180,Sensory Priming,standard,-1.0,0,builtins.float:0.102|builtins.float:0.086|builtins.float:0.083
181,Sensory Priming,standard,1.0,1,builtins.float:0.102|re.findall:0.100|builtins.float:0.086
182,Sensory Priming,standard,-1.0,0,builtins.float:0.094|builtins.float:0.089|builtins.float:0.085
183,Sensory Priming,standard,1.0,1,re.findall:0.100|builtins.float:0.094|builtins.float:0.089
184,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|builtins.float:0.094
185,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
186,Sensory Priming,standard,-1.0,0,re.findall:0.074|re.findall:0.074|builtins.float:0.073
187,Sensory Priming,standard,-1.0,0,re.findall:0.080|builtins.float:0.078|re.findall:0.075
188,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.080|builtins.float:0.078
189,Sensory Priming,standard,-1.0,0,re.findall:0.088|re.findall:0.080|re.findall:0.075
190,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.088|re.findall:0.080
191,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.088
192,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
193,Sensory Priming,standard,-1.0,0,re.findall:0.078|re.findall:0.077|re.findall:0.077
194,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.078|re.findall:0.077
195,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.078
196,Sensory Priming,standard,-1.0,0,re.findall:0.082|re.findall:0.078|re.findall:0.077
197,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.082|re.findall:0.078
198,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.082
199,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
200,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
201,Sensory Priming,standard,-1.0,0,re.findall:0.071|re.findall:0.071|re.findall:0.071
202,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.071|re.findall:0.071
203,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.071
204,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
205,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
206,Sensory Priming,standard,-1.0,0,re.findall:0.070|re.findall:0.070|re.findall:0.068
207,Sensory Priming,standard,-1.0,0,re.findall:0.076|re.findall:0.072|re.findall:0.067
208,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.076|re.findall:0.072
209,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.076
210,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
211,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
212,Sensory Priming,standard,-1.0,0,re.findall:0.069|re.findall:0.069|re.findall:0.067
213,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.069|re.findall:0.069
214,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.069
215,Sensory Priming,standard,-1.0,0,re.findall:0.077|re.findall:0.076|re.findall:0.063
216,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.077|re.findall:0.076
217,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.077
218,Sensory Priming,standard,-1.0,0,re.findall:0.076|re.findall:0.074|re.findall:0.066
219,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.076|re.findall:0.074
220,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.076
221,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
222,Sensory Priming,standard,-1.0,0,re.findall:0.075|re.findall:0.073|re.findall:0.071
223,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.075|re.findall:0.073
224,Sensory Priming,standard,-1.0,0,re.findall:0.082|re.findall:0.074|re.findall:0.067
225,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.082|re.findall:0.074
226,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.082
227,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
228,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
229,Sensory Priming,standard,-1.0,0,re.findall:0.070|re.findall:0.067|re.findall:0.066
230,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.070|re.findall:0.067
231,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.070
232,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
233,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
234,Sensory Priming,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
235,Hierarchical Chaining,standard,-1.0,0,re.findall:0.066|re.findall:0.066|re.findall:0.064
236,Hierarchical Chaining,standard,-1.0,0,re.findall:0.071|re.findall:0.069|re.findall:0.063
237,Hierarchical Chaining,standard,-1.0,0,re.findall:0.080|re.findall:0.071|re.findall:0.063
238,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|re.findall:0.080|re.findall:0.071
239,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|builtins.float:0.100|re.findall:0.080
240,Hierarchical Chaining,standard,-1.0,0,re.findall:0.078|re.findall:0.065|re.findall:0.062
241,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|re.findall:0.078|re.findall:0.065
242,Hierarchical Chaining,standard,-1.0,0,re.findall:0.082|re.findall:0.067|re.findall:0.065
243,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|re.findall:0.082|re.findall:0.067
244,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.100|re.findall:0.082
245,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
246,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
247,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
248,Hierarchical Chaining,standard,-1.0,0,re.findall:0.063|re.findall:0.057|builtins.float:0.056
249,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|re.findall:0.063|re.findall:0.057
250,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|re.findall:0.063
251,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.100
252,Hierarchical Chaining,standard,-1.0,0,math.sqrt:0.069|math.sqrt:0.063|math.sqrt:0.061
253,Hierarchical Chaining,standard,-1.0,0,math.sqrt:0.068|re.findall:0.065|math.sqrt:0.059
254,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.068|re.findall:0.065
255,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.068
256,Hierarchical Chaining,standard,-1.0,0,math.sqrt:0.075|re.findall:0.066|builtins.float:0.062
257,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.075|re.findall:0.066
258,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.075
259,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.100|builtins.float:0.100
260,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.100|builtins.float:0.100
261,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.100|builtins.float:0.100
262,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.100|builtins.float:0.100
263,Hierarchical Chaining,standard,-1.0,0,math.sqrt:0.061|math.sqrt:0.061|math.sqrt:0.059
264,Hierarchical Chaining,standard,1.0,1,builtins.float:0.100|math.sqrt:0.061|math.sqrt:0.061
265,Hierarchical Chaining,standard,-1.0,0,builtins.float:0.082|math.sqrt:0.060|math.sqrt:0.058
266,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|builtins.float:0.082|math.sqrt:0.060
267,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.082
268,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
269,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
270,Hierarchical Chaining,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
